WineName,Price,ABV,Acidity,User_TOPSIS_Score
Shiraz,29.99,14.5,3,0.1732764924375308
Pinot Noir,29.99,14.5,3,0.1732764924375308
Bin 2 Shiraz-Mataro,29.99,14.5,3,0.1732764924375308
Riesling Kabinett,16.99,12.5,3,0.1722720330615565
Riesling Kabinett Trocken,16.99,12.5,3,0.1722720330615565
Riesling,16.99,12.5,3,0.1722720330615565
Haut-Médoc,20.99,13.0,3,0.1717845318554142
Chardonnay,26.99,14.0,3,0.1712536680360863
Sauvignon Blanc,19.99,13.0,3,0.16961548440897947
Vintage Widow Pinot Noir,22.99,13.5,3,0.16823324435711226
Chardonnay,27.99,14.5,3,0.16668961908187643
Sauvignon Blanc,17.99,13.0,3,0.16558993027615976
Bourgogne Pinot Noir,17.99,13.0,3,0.16558993027615976
Bourgogne Gamay,17.99,13.0,3,0.16558993027615976
Rioja Reserva,24.99,14.0,3,0.16543827887984758
Haut-Médoc,16.99,13.0,3,0.16373824650860389
Mâcon,16.99,13.0,3,0.16373824650860389
Rioja Gran Reserva,26.99,14.5,3,0.1635186726642052
Listrac-Médoc,15.99,13.0,3,0.16199685538939856
Gavi,15.99,13.0,3,0.16199685538939856
Sauvignon Blanc,19.99,13.5,3,0.16116370566275418
Médoc,19.99,13.5,3,0.16116370566275418
Shiraz,25.99,14.5,3,0.16043530896097333
Etna Rosso,14.99,13.0,3,0.16036765097832886
Haut-Médoc,14.99,13.0,3,0.16036765097832886
Sauvignon Blanc,14.99,13.0,3,0.16036765097832886
Marsanne-Roussanne,14.99,13.0,3,0.16036765097832886
Gavi,14.99,13.0,3,0.16036765097832886
Sauvignon Blanc,6.99,12.5,3,0.1601526128622927
Pinot Noir,22.99,14.0,3,0.16000210050660293
Bordeaux Supérieur,13.99,13.0,3,0.15885227316210404
Wild Ferment Chardonnay,13.99,13.0,3,0.15885227316210404
Marsanne,13.99,13.0,3,0.15885227316210404
Pinot Noir,21.99,14.0,3,0.1574364908267461
Classique,21.99,14.0,3,0.1574364908267461
Chardonnay,12.49,13.0,3,0.15679552755838966
Grüner Veltliner,11.99,13.0,3,0.1561681418911702
Sauvignon Blanc,11.99,13.0,3,0.1561681418911702
Chianti,11.99,13.0,3,0.1561681418911702
Grüner Veltliner,11.99,13.0,3,0.1561681418911702
Matsu,26.99,15.0,3,0.15586740031832325
El Viejo,26.99,15.0,3,0.15586740031832325
Cellar Selection Pinot Noir,16.99,13.5,3,0.15507520679887724
L'Etoile,16.99,13.5,3,0.15507520679887724
Rara Neagra de Purcari,16.99,13.5,3,0.15507520679887724
Morgon,16.99,13.5,3,0.15507520679887724
Chardonnay,15.99,13.5,3,0.153277537824399
Sauvignon Blanc,15.99,13.5,3,0.153277537824399
Chianti Classico,15.99,13.5,3,0.153277537824399
Médoc,15.99,13.5,3,0.153277537824399
Cabernet Sauvignon,15.99,13.5,3,0.153277537824399
Pinot Noir,15.99,13.5,3,0.153277537824399
Barbaresco,19.99,14.0,3,0.1526306518347267
Chianti Rufina,19.99,14.0,3,0.1526306518347267
Reserva,22.99,14.5,3,0.1517573294885472
Malbec,22.99,14.5,3,0.1517573294885472
Rioja Gran Reserva,22.99,14.5,3,0.1517573294885472
Sauvignon Blanc,14.99,13.5,3,0.15160001006365711
Sauvignon Blanc,14.99,13.5,3,0.15160001006365711
Pinot Noir,13.99,13.5,3,0.15004474360497616
Montepulciano d'Abruzzo,12.99,13.5,3,0.14861353364198618
Sauvignon Blanc,12.99,13.5,3,0.14861353364198618
Rioja Reserva,17.99,14.0,3,0.14828497731957044
Bordeaux,11.99,13.5,3,0.14730781905424925
Nebbiolo,20.99,14.5,3,0.14649687147265206
Gigondas,23.99,15.0,3,0.14646820020632265
Cabernet Sauvignon,16.99,14.0,3,0.14629403754443907
Malbec,9.99,13.5,3,0.14507668552230704
Fleurie,15.99,14.0,3,0.14442892962730192
Morgon,15.99,14.0,3,0.14442892962730192
Malbec,8.99,13.5,3,0.14415213171879884
Shiraz,7.99,13.5,3,0.14335477165635185
Reserva,14.99,14.0,3,0.14269273762236107
Pinot Noir,14.99,14.0,3,0.14269273762236107
Cabernet Sauvignon,18.99,14.5,3,0.14170169586381973
Shiraz,18.99,14.5,3,0.14170169586381973
John X Merriman,18.99,14.5,3,0.14170169586381973
Langhe Nebbiolo,13.99,14.0,3,0.1410882145101148
Rioja Crianza,13.99,14.0,3,0.1410882145101148
Rioja Crianza,13.99,14.0,3,0.1410882145101148
Cabernet Sauvignon-Merlot,13.99,14.0,3,0.1410882145101148
Malbec,12.99,14.0,3,0.1396177348125798
Purple Paradise,17.99,14.5,3,0.13949050297968493
Rioja Reserva,17.99,14.5,3,0.13949050297968493
Dolcetto d'Alba,11.99,14.0,3,0.13828324973946998
Rioja Crianza,11.99,14.0,3,0.13828324973946998
Merlot,11.29,14.0,3,0.13743084303363462
Alicante Bouschet Reserva,16.99,14.5,3,0.13740964388630209
Shiraz,16.99,14.5,3,0.13740964388630209
Cabernet Sauvignon,10.99,14.0,3,0.13708624632673072
Shiraz,14.99,14.4,3,0.13547290146424107
El Recio,15.99,14.5,3,0.13546338908376074
Matsu,15.99,14.5,3,0.13546338908376074
Rioja Reserva,15.99,14.5,3,0.13546338908376074
Chianti Classico,7.99,14.0,3,0.13432733902063002
Malbec,14.99,14.5,3,0.13365570513472777
Reserva,14.99,14.5,3,0.13365570513472777
Shiraz,14.99,14.5,3,0.13365570513472777
Cabardès,12.99,14.5,3,0.13046999274664087
Bordeaux Supérieur,12.99,14.5,3,0.13046999274664087
Chardonnay,12.99,14.5,3,0.13046999274664087
Matsu,11.99,14.5,3,0.12909777487820104
Reserva Merlot,11.29,14.5,3,0.12822641199228044
Gran Reserva Merlot,11.29,14.5,3,0.12822641199228044
Merlot,11.29,14.5,3,0.12822641199228044
Rioja Reserva,9.99,14.5,3,0.12680501211938233
